index,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,release_date,year,decade,era,is_hit
765,6wXpQl6LNBzDhalmed8Lm5,Ingrid Michaelson,Turn To Stone,Turn To Stone,45,276386,False,0.354,0.175,0,-9.779,1,0.0388,0.781,7.63e-05,0.153,0.323,111.089,4,acoustic,2009-05-08,2009,2000,00s-10s,False
824,7IjL4IoQZMk1dOI4MH1T0i,Joshua Radin,Paperweight by Joshua Radin and Schuyler Fisk,Paperweight by Joshua Radin and Schuyler Fisk,49,204333,False,0.422,0.119,8,-15.182,1,0.0354,0.555,0.0,0.0959,0.405,179.844,3,acoustic,2009-11-25,2009,2000,00s-10s,False
1882,4fvsRG68AC7biwypJu6nUX,Lack Of Afro,My Groove Your Move (Bonus Version),Beautiful Here,17,232546,False,0.833,0.675,0,-9.076,1,0.0413,0.0493,0.822,0.1,0.442,110.865,4,afrobeat,2009-10-19,2009,2000,00s-10s,False
760,0RHZvKdk4rHKyl2Ijltoub,Michelle Featherstone,Blue Bike,Careful,35,256760,False,0.505,0.835,5,-4.301,1,0.0296,0.46,0.000352,0.165,0.484,144.171,4,acoustic,2009-04-01,2009,2000,00s-10s,False
1287,48DWFHPOnkzvgyywwED5ZO,Los Amigos Invisibles,Commercial,Es la Verdad,26,305693,False,0.623,0.952,7,-7.348,1,0.0391,0.241,0.0113,0.121,0.714,108.004,4,afrobeat,2009-05-26,2009,2000,00s-10s,False
1310,2W8emJ02IeqnxsEHPHFWCZ,Thiago França,Na Gafieira,Um samba pra John Coltrane,23,100146,False,0.701,0.715,10,-7.829,0,0.0451,0.313,0.958,0.0418,0.774,139.733,4,afrobeat,2009,2009,2000,00s-10s,False
1209,5gzOvdhMvQnNl5a8NlZLs7,BaianaSystem,BaianaSystem,BembaDub,26,168560,False,0.353,0.721,6,-6.3,0,0.129,0.0643,0.344,0.112,0.652,170.026,3,afrobeat,2009-12-20,2009,2000,00s-10s,False
2972,5FQXMRDSTkn9fowDJ3kZo8,Sick Puppies,Tri-Polar (International Version),You're Going Down,66,187346,True,0.49,0.833,6,-5.899,1,0.0487,0.0116,0.000504,0.15,0.39,89.981,4,alt-rock,2009,2009,2000,00s-10s,False
1191,2TPCINjlzZ9Hbp0tCRQC2b,BaianaSystem,BaianaSystem,O Carnaval Quem É Que Faz?,29,263146,False,0.603,0.849,11,-8.917,0,0.0392,0.1,0.138,0.106,0.674,143.027,4,afrobeat,2009-12-20,2009,2000,00s-10s,False
1942,3UzMktm3erzDU4Y4WFyo9G,Wganda Kenya,Palenque Palenque: Champeta Criolla & Afro Roots in Colombia 1975-91,Yoro,17,224426,False,0.797,0.69,11,-7.565,0,0.0511,0.0805,0.00972,0.0613,0.705,114.097,4,afrobeat,2009-08-10,2009,2000,00s-10s,False
1170,7DGciw6JNzvNtdmvvANsHV,BaianaSystem,BaianaSystem,Barravenida,27,297360,False,0.646,0.651,7,-10.789,0,0.0328,0.0025,0.739,0.17,0.672,133.985,4,afrobeat,2009-12-20,2009,2000,00s-10s,False
2477,5ylQ8MS3Wj16QmnYP5PNxc,Tan Bionica,Canciones del Huracan + Wonderful Noches,Lunita de Tucumán,50,236120,False,0.383,0.745,7,-5.733,1,0.0443,0.0109,0.0,0.0872,0.675,89.743,4,alt-rock,2009-01-01,2009,2000,00s-10s,False
2937,0Ki1LxOG8z8ywTCcUT3ugq,Los Caligaris,Transpirando Alegría,Tyson,45,196207,False,0.526,0.884,5,-3.359,1,0.0757,0.0469,0.0,0.315,0.657,156.021,4,alt-rock,2009-04-04,2009,2000,00s-10s,False
1915,7KDiI2Q1pJnZoTpGl7r50f,cacique'97,Cacique'97,Jorge de Capadócia,16,355946,False,0.78,0.818,11,-8.631,0,0.0511,0.19,0.00634,0.174,0.934,114.989,4,afrobeat,2009-06-09,2009,2000,00s-10s,False
1288,2YsFthSjFDrRepQTwQuVNW,Lack Of Afro;Wax;Herbal T,My Groove Your Move (Bonus Version),International,25,272466,False,0.659,0.736,11,-8.119,0,0.202,0.00473,0.0,0.239,0.63,96.971,4,afrobeat,2009-10-19,2009,2000,00s-10s,False
3453,6Wx88Mv6b9ofjKMKkdwOJd,Linkin Park,Transformers: Revenge Of The Fallen The Album,New Divide,70,268613,False,0.493,0.808,5,-3.365,0,0.0362,0.000235,0.0,0.0983,0.38,117.971,4,alternative,2009-06-12,2009,2000,00s-10s,True
1183,7kM4yhMogdpiOZu0wL1UFy,BaianaSystem,BaianaSystem,Amerikha Expressa,28,179306,False,0.39,0.661,7,-9.916,0,0.0321,0.61,0.726,0.298,0.205,123.257,4,afrobeat,2009-12-20,2009,2000,00s-10s,False
1101,0FLmR0blAIztjE7YsQpoYc,El Michels Affair,Enter The 37th Chamber,Shimmy Shimmy Ya,49,145880,False,0.605,0.666,11,-5.77,1,0.0413,0.0234,0.647,0.0841,0.0865,100.138,4,afrobeat,2009-04-21,2009,2000,00s-10s,False
